key,junshu,tenban_junshu_p,chiban_junshu_p,chokufu,chokushi,kuubou,tenban_kan,tenban_gon,tenban_shin,tenban_son,tenban_ri,tenban_kun,tenban_da,tenban_ken,chiban_kan,chiban_gon,chiban_shin,chiban_son,chiban_ri,chiban_kun,chiban_da,chiban_ken,kyusei_kan,kyusei_gon,kyusei_shin,kyusei_son,kyusei_ri,kyusei_kun,kyusei_da,kyusei_ken,hasshin_kan,hasshin_gon,hasshin_shin,hasshin_son,hasshin_ri,hasshin_kun,hasshin_da,hasshin_ken,hachimon_kan,hachimon_gon,hachimon_shin,hachimon_son,hachimon_ri,hachimon_kun,hachimon_da,hachimon_ken
陰1局甲子,戊,坎,坎,天蓬,休門,戌亥,戊,庚,丙,丁,己,乙癸,辛,壬,戊,庚,丙,丁,己,乙癸,辛,壬,天蓬,天任,天冲,天輔,天英,天芮,天柱,天心,直符,九天,九地,朱雀,勾陳,六合,太陰,螣蛇,休門,生門,傷門,杜門,景門,死門,驚門,開門
陰1局乙丑,戊,坤,坎,天蓬,休門,戌亥,丁,己,乙癸,辛,壬,戊,庚,丙,戊,庚,丙,丁,己,乙癸,辛,壬,天輔,天英,天芮,天柱,天心,天蓬,天任,天冲,朱雀,勾陳,六合,太陰,螣蛇,直符,九天,九地,景門,死門,驚門,開門,休門,生門,傷門,杜門
陰1局丙寅,戊,震,坎,天蓬,休門,戌亥,辛,壬,戊,庚,丙,丁,己,乙癸,戊,庚,丙,丁,己,乙癸,辛,壬,天柱,天心,天蓬,天任,天冲,天輔,天英,天芮,太陰,螣蛇,直符,九天,九地,朱雀,勾陳,六合,開門,休門,生門,傷門,杜門,景門,死門,驚門
陰1局丁卯,戊,巽,坎,天蓬,休門,戌亥,乙癸,辛,壬,戊,庚,丙,丁,己,戊,庚,丙,丁,己,乙癸,辛,壬,天芮,天柱,天心,天蓬,天任,天冲,天輔,天英,六合,太陰,螣蛇,直符,九天,九地,朱雀,勾陳,傷門,杜門,景門,死門,驚門,開門,休門,生門
陰1局戊辰,戊,坎,坎,天蓬,休門,戌亥,戊,庚,丙,丁,己,乙癸,辛,壬,戊,庚,丙,丁,己,乙癸,辛,壬,天蓬,天任,天冲,天輔,天英,天芮,天柱,天心,直符,九天,九地,朱雀,勾陳,六合,太陰,螣蛇,生門,傷門,杜門,景門,死門,驚門,開門,休門
陰1局己巳,戊,離,坎,天蓬,休門,戌亥,己,乙癸,辛,壬,戊,庚,丙,丁,戊,庚,丙,丁,己,乙癸,辛,壬,天英,天芮,天柱,天心,天蓬,天任,天冲,天輔,勾陳,六合,太陰,螣蛇,直符,九天,九地,朱雀,杜門,景門,死門,驚門,開門,休門,生門,傷門
陰1局庚午,戊,艮,坎,天蓬,休門,戌亥,壬,戊,庚,丙,丁,己,乙癸,辛,戊,庚,丙,丁,己,乙癸,辛,壬,天心,天蓬,天任,天冲,天輔,天英,天芮,天柱,螣蛇,直符,九天,九地,朱雀,勾陳,六合,太陰,死門,驚門,開門,休門,生門,傷門,杜門,景門
陰1局辛未,戊,兌,坎,天蓬,休門,戌亥,丙,丁,己,乙癸,辛,壬,戊,庚,戊,庚,丙,丁,己,乙癸,辛,壬,天冲,天輔,天英,天芮,天柱,天心,天蓬,天任,九地,朱雀,勾陳,六合,太陰,螣蛇,直符,九天,驚門,開門,休門,生門,傷門,杜門,景門,死門
陰1局壬申,戊,壬,坎,天蓬,休門,戌亥,庚,丙,丁,己,乙癸,辛,壬,戊,戊,庚,丙,丁,己,乙癸,辛,壬,天任,天冲,天輔,天英,天芮,天柱,天心,天蓬,九天,九地,朱雀,勾陳,六合,太陰,螣蛇,直符,杜門,景門,死門,驚門,開門,休門,生門,傷門
陰1局癸酉,戊,坤,坎,天蓬,休門,戌亥,丁,己,乙癸,辛,壬,戊,庚,丙,戊,庚,丙,丁,己,乙癸,辛,壬,天輔,天英,天芮,天柱,天心,天蓬,天任,天冲,朱雀,勾陳,六合,太陰,螣蛇,直符,九天,九地,休門,生門,傷門,杜門,景門,死門,驚門,開門
陰1局甲戌,己,離,離,天英,景門,申酉,戊,庚,丙,丁,己,乙癸,辛,壬,戊,庚,丙,丁,己,乙癸,辛,壬,天蓬,天任,天冲,天輔,天英,天芮,天柱,天心,勾陳,六合,太陰,螣蛇,直符,九天,九地,朱雀,休門,生門,傷門,杜門,景門,死門,驚門,開門
陰1局乙亥,己,坤,離,天英,景門,申酉,壬,戊,庚,丙,丁,己,乙癸,辛,戊,庚,丙,丁,己,乙癸,辛,壬,天心,天蓬,天任,天冲,天輔,天英,天芮,天柱,朱雀,勾陳,六合,太陰,螣蛇,直符,九天,九地,杜門,景門,死門,驚門,開門,休門,生門,傷門
陰1局丙子,己,震,離,天英,景門,申酉,丙,丁,己,乙癸,辛,壬,戊,庚,戊,庚,丙,丁,己,乙癸,辛,壬,天冲,天輔,天英,天芮,天柱,天心,天蓬,天任,太陰,螣蛇,直符,九天,九地,朱雀,勾陳,六合,驚門,開門,休門,生門,傷門,杜門,景門,死門
陰1局丁丑,己,巽,離,天英,景門,申酉,庚,丙,丁,己,乙癸,辛,壬,戊,戊,庚,丙,丁,己,乙癸,辛,壬,天任,天冲,天輔,天英,天芮,天柱,天心,天蓬,六合,太陰,螣蛇,直符,九天,九地,朱雀,勾陳,死門,驚門,開門,休門,生門,傷門,杜門,景門
陰1局戊寅,己,坎,離,天英,景門,申酉,己,乙癸,辛,壬,戊,庚,丙,丁,戊,庚,丙,丁,己,乙癸,辛,壬,天英,天芮,天柱,天心,天蓬,天任,天冲,天輔,直符,九天,九地,朱雀,勾陳,六合,太陰,螣蛇,開門,休門,生門,傷門,杜門,景門,死門,驚門
陰1局己卯,己,離,離,天英,景門,申酉,戊,庚,丙,丁,己,乙癸,辛,壬,戊,庚,丙,丁,己,乙癸,辛,壬,天蓬,天任,天冲,天輔,天英,天芮,天柱,天心,勾陳,六合,太陰,螣蛇,直符,九天,九地,朱雀,生門,傷門,杜門,景門,死門,驚門,開門,休門
