key,junshu,tenban_junshu_p,chiban_junshu_p,chokufu,chokushi,kuubou,tenban_kan,tenban_gon,tenban_shin,tenban_son,tenban_ri,tenban_kun,tenban_da,tenban_ken,chiban_kan,chiban_gon,chiban_shin,chiban_son,chiban_ri,chiban_kun,chiban_da,chiban_ken,kyusei_kan,kyusei_gon,kyusei_shin,kyusei_son,kyusei_ri,kyusei_kun,kyusei_da,kyusei_ken,hasshin_kan,hasshin_gon,hasshin_shin,hasshin_son,hasshin_ri,hasshin_kun,hasshin_da,hasshin_ken,hachimon_kan,hachimon_gon,hachimon_shin,hachimon_son,hachimon_ri,hachimon_kun,hachimon_da,hachimon_ken,jukkan_kokuou_kan,kakkyoku_kan,jukkan_kokuou_gon,kakkyoku_gon,jukkan_kokuou_shin,kakkyoku_shin,jukkan_kokuou_son,kakkyoku_son,jukkan_kokuou_ri,kakkyoku_ri,jukkan_kokuou_kun,kakkyoku_kun,jukkan_kokuou_da,kakkyoku_da,jukkan_kokuou_ken,kakkyoku_ken,ban_level
陰1局甲子,戊,坎,坎,天蓬,休門,戌亥,戊,庚,丙,丁,己,乙癸,辛,壬,戊,庚,丙,丁,己,乙癸,辛,壬,天蓬,天任,天冲,天輔,天英,天芮,天柱,天心,直符,九天,九地,朱雀,勾陳,六合,太陰,螣蛇,休門,生門,傷門,杜門,景門,死門,驚門,開門,×伏吟,,×太白同宮,×六儀撃刑格,×月奇孛師,,〇奇入太陰,◯丁奇得使,×地戸蓬鬼,,△日奇伏吟;△華蓋蓬星;△華蓋蓬星;×天網四張,×乙奇入墓,×伏吟天庭,,×蛇入地羅,,伏吟
陰1局乙丑,戊,坤,坎,天蓬,休門,戌亥,丁,己,乙癸,辛,壬,戊,庚,丙,戊,庚,丙,丁,己,乙癸,辛,壬,天輔,天英,天芮,天柱,天心,天蓬,天任,天冲,朱雀,勾陳,六合,太陰,螣蛇,直符,九天,九地,景門,死門,驚門,開門,休門,生門,傷門,杜門,〇青龍転光,,×刑格返名,,〇奇儀順遂;〇華蓋孛師,◯乙奇昇殿,〇獄神得奇,,×凶蛇入獄,,△青龍合霊;△青龍華蓋,,×白虎干格,,×火入天羅,×丙奇入墓,反吟;門迫
陰1局丙寅,戊,震,坎,天蓬,休門,戌亥,辛,壬,戊,庚,丙,丁,己,乙癸,戊,庚,丙,丁,己,乙癸,辛,壬,天柱,天心,天蓬,天任,天冲,天輔,天英,天芮,太陰,螣蛇,直符,九天,九地,朱雀,勾陳,六合,開門,休門,生門,傷門,杜門,景門,死門,驚門,×囚獄被傷,,×太白擒蛇,,〇青龍返首,×六儀撃刑格,△丁丁之格,,△太孛入刑,◯丙奇昇殿,〇人遁吉格;×朱雀投江,×朱雀投江,×遊魂入墓,,×日奇入地;×復見騰蛇,◯乙奇得使,
陰1局丁卯,戊,巽,坎,天蓬,休門,戌亥,乙癸,辛,壬,戊,庚,丙,丁,己,戊,庚,丙,丁,己,乙癸,辛,壬,天芮,天柱,天心,天蓬,天任,天冲,天輔,天英,六合,太陰,螣蛇,直符,九天,九地,朱雀,勾陳,傷門,杜門,景門,死門,驚門,開門,休門,生門,×利陰害陽;〇天乙会合,,×白虎出力,,×水蛇入火,,〇青龍耀明,,×官符刑格,×刑格,〇日月併用;×華蓋孛師,◯丙奇得使,×朱雀入獄,◯丁奇昇殿;◯玉女守門,×地網高張,,門迫
陰1局戊辰,戊,坎,坎,天蓬,休門,戌亥,戊,庚,丙,丁,己,乙癸,辛,壬,戊,庚,丙,丁,己,乙癸,辛,壬,天蓬,天任,天冲,天輔,天英,天芮,天柱,天心,直符,九天,九地,朱雀,勾陳,六合,太陰,螣蛇,生門,傷門,杜門,景門,死門,驚門,開門,休門,×伏吟,,×太白同宮,×六儀撃刑格,×月奇孛師,,〇奇入太陰,◯丁奇得使,×地戸蓬鬼,,△日奇伏吟;△華蓋蓬星;△華蓋蓬星;×天網四張,×乙奇入墓,×伏吟天庭,,×蛇入地羅,,伏吟;門迫
陰1局己巳,戊,離,坎,天蓬,休門,戌亥,己,乙癸,辛,壬,戊,庚,丙,丁,戊,庚,丙,丁,己,乙癸,辛,壬,天英,天芮,天柱,天心,天蓬,天任,天冲,天輔,勾陳,六合,太陰,螣蛇,直符,九天,九地,朱雀,杜門,景門,死門,驚門,開門,休門,生門,傷門,△犬遇青龍,,×日奇被刑;×太白入網,,×干合孛師,,△干合蛇刑,×六儀撃刑格,×貴人入獄,,△太白蓬星;×反吟大格,,△謀事成就,,〇五神互合,,反吟;門迫
陰1局庚午,戊,艮,坎,天蓬,休門,戌亥,壬,戊,庚,丙,丁,己,乙癸,辛,戊,庚,丙,丁,己,乙癸,辛,壬,天心,天蓬,天任,天冲,天輔,天英,天芮,天柱,螣蛇,直符,九天,九地,朱雀,勾陳,六合,太陰,死門,驚門,開門,休門,生門,傷門,杜門,景門,〇小蛇化龍,,×値符飛宮,×飛宮格,×太白入熒,,〇星奇朱雀,,×火入勾陳,,△地戸蓬星;×地刑玄武,×六儀撃刑格,×青龍逃走;×網蓋天牢,×青龍逃走,×凶蛇入獄,,門迫
陰1局辛未,戊,兌,坎,天蓬,休門,戌亥,丙,丁,己,乙癸,辛,壬,戊,庚,戊,庚,丙,丁,己,乙癸,辛,壬,天冲,天輔,天英,天芮,天柱,天心,天蓬,天任,九地,朱雀,勾陳,六合,太陰,螣蛇,直符,九天,驚門,開門,休門,生門,傷門,杜門,景門,死門,〇飛鳥跌穴,◯丙奇得使,△朱雀入没,◯丁奇得使;×丁奇入墓,×火孛地戸,,〇奇儀相佐;×螣蛇妖矯,◯風遁;×螣蛇妖矯;×六儀撃刑格,×入獄自刑,×六儀撃刑格,△格名小蛇;×幼女奸淫,,×青龍折足,,×金華水流,,門迫
陰1局壬申,戊,壬,坎,天蓬,休門,戌亥,庚,丙,丁,己,乙癸,辛,壬,戊,戊,庚,丙,丁,己,乙癸,辛,壬,天任,天冲,天輔,天英,天芮,天柱,天心,天蓬,九天,九地,朱雀,勾陳,六合,太陰,螣蛇,直符,杜門,景門,死門,驚門,開門,休門,生門,傷門,×太白伏宮,×伏宮格,×焚入太白,,△星髄月転,,△朱雀入墓,,×日奇入霧;×華蓋地戸,◯地遁;◯乙奇得使,×白虎猖狂;×天牢華蓋,×白虎猖狂,×騰蛇相纏,,×龍入天牢,,門迫
陰1局癸酉,戊,坤,坎,天蓬,休門,戌亥,丁,己,乙癸,辛,壬,戊,庚,丙,戊,庚,丙,丁,己,乙癸,辛,壬,天輔,天英,天芮,天柱,天心,天蓬,天任,天冲,朱雀,勾陳,六合,太陰,螣蛇,直符,九天,九地,休門,生門,傷門,杜門,景門,死門,驚門,開門,〇青龍転光,◯玉女守門,×刑格返名,,〇奇儀順遂;〇華蓋孛師,◯乙奇昇殿,〇獄神得奇,,×凶蛇入獄,,△青龍合霊;△青龍華蓋,,×白虎干格,,×火入天羅,×丙奇入墓,
陰1局甲戌,己,離,離,天英,景門,申酉,戊,庚,丙,丁,己,乙癸,辛,壬,戊,庚,丙,丁,己,乙癸,辛,壬,天蓬,天任,天冲,天輔,天英,天芮,天柱,天心,勾陳,六合,太陰,螣蛇,直符,九天,九地,朱雀,休門,生門,傷門,杜門,景門,死門,驚門,開門,×伏吟,,×太白同宮,×六儀撃刑格,×月奇孛師,,〇奇入太陰,◯丁奇得使,×地戸蓬鬼,,△日奇伏吟;△華蓋蓬星;△華蓋蓬星;×天網四張,×乙奇入墓,×伏吟天庭,,×蛇入地羅,,伏吟
陰1局乙亥,己,坤,離,天英,景門,申酉,壬,戊,庚,丙,丁,己,乙癸,辛,戊,庚,丙,丁,己,乙癸,辛,壬,天心,天蓬,天任,天冲,天輔,天英,天芮,天柱,朱雀,勾陳,六合,太陰,螣蛇,直符,九天,九地,杜門,景門,死門,驚門,開門,休門,生門,傷門,〇小蛇化龍,,×値符飛宮,,×太白入熒,,〇星奇朱雀,,×火入勾陳,,△地戸蓬星;×地刑玄武,×六儀撃刑格,×青龍逃走;×網蓋天牢,◯雲遁;×青龍逃走,×凶蛇入獄,,門迫
